chi_squared	pval
1.0	0.24197072451914337
2.0	0.10377687435514868
3.0	0.05139344326792309
4.0	0.026995483256594024
5.0	0.014644982561926487
6.0	0.008108695554940242
7.0	0.004553342921640176
8.0	0.002583373169261508
9.0	0.0014772828039793361
10.0	0.0008500366602520334
11.0	0.0004915798500576219
12.0	0.00028546479167585544
13.0	0.00016635055620285914
14.0	9.722650504591441e-05
15.0	5.697125966142744e-05
16.0	3.345755644122135e-05
17.0	1.9687134527509636e-05
18.0	1.1604420995562323e-05
19.0	6.850711634843098e-06
20.0	4.049955478044562e-06
21.0	2.3972225728510414e-06
22.0	1.420559485774422e-06
23.0	8.426740224865428e-07
24.0	5.003462649168527e-07
25.0	2.973439029468599e-07
26.0	1.7684595355550428e-07
27.0	1.0525740966894839e-07
28.0	6.269144836688716e-08
29.0	3.736294316441331e-08
30.0	2.228087334524961e-08
31.0	1.3294277792728047e-08
32.0	7.93639666991658e-09
33.0	4.74017247894717e-09
34.0	2.832464105409804e-09
35.0	1.6932559498948e-09
36.0	1.0126471416372135e-09
37.0	6.058446659530059e-10
38.0	3.6259608558730847e-10
39.0	2.1708777387468438e-10
40.0	1.3001409344135943e-10
41.0	7.788992011916186e-11
42.0	4.667682428855692e-11
43.0	2.7979791707575736e-11
44.0	1.6776645421457448e-11
45.0	1.0061852952688094e-11
46.0	6.036122795060035e-12
47.0	3.621936334519961e-12
48.0	2.1738114975259404e-12
49.0	1.3049600583377996e-12
50.0	7.835433265508656e-13
51.0	4.705607390330184e-13
52.0	2.826518709496402e-13
53.0	1.698119935763033e-13
54.0	1.0203805566165738e-13
55.0	6.13239991194836e-14
56.0	3.686129248526633e-14
57.0	2.216051779460727e-14
58.0	1.3324658702896334e-14
59.0	8.01303138663969e-15
60.0	4.819477793496795e-15
61.0	2.8991016977755963e-15
62.0	1.7441558223677712e-15
63.0	1.0494544928108042e-15
64.0	6.315338854421117e-16
65.0	3.800867460472093e-16
66.0	2.2878112710515647e-16
67.0	1.3772333183447938e-16
68.0	8.291693206091238e-17
69.0	4.992589911179636e-17
70.0	3.0064513407082013e-17
71.0	1.8106177930604678e-17
72.0	1.0905421830205251e-17
73.0	6.569011864962292e-18
74.0	3.9572945371300505e-18
75.0	2.3841652996954988e-18
76.0	1.4365242355507606e-18
77.0	8.656197364687012e-19
78.0	5.216485088194445e-19
79.0	3.1438693156962453e-19
80.0	1.894897820206494e-19
81.0	1.142197063518764e-19
82.0	6.885403272205063e-20
83.0	4.1509740717189e-20
84.0	2.50266190459314e-20
85.0	1.508985692703685e-20
86.0	9.099093303161927e-21
87.0	5.487069697777057e-21
88.0	3.3091124532848246e-21
89.0	1.995770586787216e-21
90.0	1.2037522875785252e-21
91.0	7.260899791687093e-22
92.0	4.3799583891090425e-22
93.0	2.6422577660607807e-22
94.0	1.5940630298572452e-22
95.0	9.617459647110825e-23
96.0	5.802822922508653e-23
97.0	3.501400797934091e-23
98.0	2.112843913572516e-23
99.0	1.2750159401250213e-23
100.0	7.694598626706428e-24
101.0	4.643848498454988e-24
102.0	2.802795444041215e-24
103.0	1.6917089051973584e-24
104.0	1.0211283578748507e-24
105.0	6.163893358235552e-25
106.0	3.720913656037562e-25
107.0	2.2462774387849445e-25
108.0	1.3561138932785072e-25
109.0	8.187429117554283e-26
110.0	4.9433028541319587e-26
111.0	2.9847284882111805e-26
112.0	1.8022293908311356e-26
113.0	1.0882598746447289e-26
114.0	6.571615899264616e-27
115.0	3.968518746857872e-27
116.0	2.3966307145792743e-27
117.0	1.4474045836130103e-27
118.0	8.741674471068645e-28
119.0	5.279768880211181e-28
120.0	3.1889706970822307e-28
121.0	1.9261993213721335e-28
122.0	1.1635009825782188e-28
123.0	7.028244688377707e-29
124.0	4.2456221972800866e-29
125.0	2.5647789484602655e-29
126.0	1.5494316869968932e-29
127.0	9.360705984947802e-30
128.0	5.6553337401749466e-30
129.0	3.4168123479642366e-30
