,index,FACS.selection,age,batch,cell,cell_ontology_class,cell_ontology_id,cellid,free_annotation,method,mouse.id,plate,sex,subtissue,tissue,well,n_genes,n_counts,louvain,cluster_names
1111,A1.B000971.3_39_F.1.1-1,nan,3m,1,A1.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1800,1365096,3,3_B cell
1113,A1.MAA000508.3_9_M.1.1-1,nan,3m,1,A1.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1803,231116,0,0_B cell
1114,A1.MAA000559.3_8_M.1.1-1,nan,3m,1,A1.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1753,525402,3,3_B cell
1115,A1.MAA000776.3_10_M.1.1-1,nan,3m,1,A1.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,669,187097,0,0_B cell
1116,A1.MAA000779.3_11_M.1.1-1,nan,3m,1,A1.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1193,216718,0,0_B cell
1117,A10.B000971.3_39_F.1.1-1,nan,3m,1,A10.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1600,1226618,1,1_T cell
1118,A10.B001750.3_38_F.1.1-1,nan,3m,1,A10.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1918,118549,1,1_T cell
1119,A10.MAA000508.3_9_M.1.1-1,nan,3m,1,A10.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,1948,465561,1,1_T cell
1120,A10.MAA000559.3_8_M.1.1-1,nan,3m,1,A10.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1459,444159,0,0_B cell
1121,A10.MAA000779.3_11_M.1.1-1,nan,3m,1,A10.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1073,185439,4,4_B cell
1122,A11.B000971.3_39_F.1.1-1,nan,3m,1,A11.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2062,911794,0,0_B cell
1123,A11.B001750.3_38_F.1.1-1,nan,3m,1,A11.B001750.3_38_F.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_38_F,nan,female,NA,Spleen,nan,1374,95112,12,12_NK cell
1124,A11.MAA000508.3_9_M.1.1-1,nan,3m,1,A11.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1957,266198,3,3_B cell
1125,A11.MAA000559.3_8_M.1.1-1,nan,3m,1,A11.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1644,400970,3,3_B cell
1126,A11.MAA000779.3_11_M.1.1-1,nan,3m,1,A11.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1214,260750,0,0_B cell
1127,A12.B000971.3_39_F.1.1-1,nan,3m,1,A12.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,2223,863887,9,9_T cell
1128,A12.MAA000508.3_9_M.1.1-1,nan,3m,1,A12.MAA000508.3_9_M.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_9_M,nan,male,NA,Spleen,nan,1923,256973,12,12_NK cell
1129,A12.MAA000559.3_8_M.1.1-1,nan,3m,1,A12.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1589,365233,11,11_B cell
1130,A12.MAA000776.3_10_M.1.1-1,nan,3m,1,A12.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2309,736269,5,5_B cell
1131,A12.MAA000779.3_11_M.1.1-1,nan,3m,1,A12.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1595,277626,2,2_B cell
1132,A13.B000971.3_39_F.1.1-1,nan,3m,1,A13.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1648,632348,0,0_B cell
1133,A13.B001750.3_38_F.1.1-1,nan,3m,1,A13.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2102,536145,2,2_B cell
1134,A13.MAA000508.3_9_M.1.1-1,nan,3m,1,A13.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1550,222831,11,11_B cell
1136,A13.MAA000779.3_11_M.1.1-1,nan,3m,1,A13.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1533,306576,5,5_B cell
1137,A14.B000971.3_39_F.1.1-1,nan,3m,1,A14.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1601,1137193,0,0_B cell
1138,A14.B001750.3_38_F.1.1-1,nan,3m,1,A14.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2343,488719,1,1_T cell
1139,A14.MAA000508.3_9_M.1.1-1,nan,3m,1,A14.MAA000508.3_9_M.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_9_M,nan,male,NA,Spleen,nan,2274,294014,12,12_NK cell
1140,A14.MAA000559.3_8_M.1.1-1,nan,3m,1,A14.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,3362,1052239,1,1_T cell
1141,A14.MAA000779.3_11_M.1.1-1,nan,3m,1,A14.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1649,273572,9,9_T cell
1142,A15.B000971.3_39_F.1.1-1,nan,3m,1,A15.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1708,787104,7,7_B cell
1143,A15.B001750.3_38_F.1.1-1,nan,3m,1,A15.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1730,353608,0,0_B cell
1144,A15.MAA000508.3_9_M.1.1-1,nan,3m,1,A15.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1863,186423,5,5_B cell
1145,A15.MAA000776.3_10_M.1.1-1,nan,3m,1,A15.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1688,691221,0,0_B cell
1146,A15.MAA000779.3_11_M.1.1-1,nan,3m,1,A15.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,2028,315414,6,6_B cell
1147,A16.B000971.3_39_F.1.1-1,nan,3m,1,A16.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1738,856579,1,1_T cell
1148,A16.B001750.3_38_F.1.1-1,nan,3m,1,A16.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1967,483721,1,1_T cell
